Name,Info1,Link,Number,AT,,,,,,,,,,
Activated charcoal cleanse,"Activated charcoal cleanses, also known as charcoal detoxes, are a pseudoscientific use of a proven medical intervention. Activated charcoal is available in powder, tablet and liquid form. Its proponents claim the use of activated charcoal on a regular basis will detoxify and cleanse the body as well as boost one's energy and brighten the skin. Such claims violate basic principles of chemistry and physiology. There is no medical evidence for any health benefits of cleanses or detoxes via activated charcoal or any other method. Charcoal, when ingested, will absorb vitamins and nutrients as well as prescription medications present in the gastrointestinal tract which can make it dangerous to use unless directed by a medical doctor.
",https://en.wikipedia.org/wiki/Activated_charcoal_cleanse,1,"OneUpOnUs, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons",,,,,,,,,,
Acupressure,"Acupressure  (Chinese -Tui na), is an alternative medicine technique often used in conjunction with acupuncture. It is based on the concept of life energy which flows through ""meridians"" in the body. In treatment, physical pressure is applied to acupuncture points or ashi trigger points with the aim of clearing blockages in these meridians. Pressure may be applied by hand, by elbow, or with various devices.
",https://en.wikipedia.org/wiki/Acupressure,2,Photo by Conscious Design on Unsplash,,,,,,,,,,
Acupuncture,"Acupuncture is a form of alternative medicine and a key component of traditional Chinese medicine (TCM) in which thin needles are inserted into the body. Acupuncture is a pseudoscience, the theories and practices of TCM are not based on scientific knowledge, and it has been characterized as quackery. There is a range of acupuncture variants which originated in different philosophies, and techniques vary depending on the country in which it is performed, but can be divided into two main foundational philosophical applications and approaches, the first being the modern standardized form called eight principal TCM and the second an older system that is based on the ancient Taoist Wuxing or better known as the five elements or phases in the West. Acupunture is most often used to attempt pain relief, though acupuncturists say that it can also be used for a wide range of other conditions. Acupuncture is generally used only in combination with other forms of treatment.
",https://en.wikipedia.org/wiki/Acupuncture,3,"Photo by <a href=""https://unsplash.com/@tinymountain?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Katherine Hanlon</a> on <a href=""https://unsplash.com/s/photos/acupuncture?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>
  ",,,,,,,,,,
Affirmative prayer,"Affirmative prayer is a form of prayer or a metaphysical technique that is focused on a positive outcome rather than a negative situation. For instance, a person who is experiencing some form of illness would focus the prayer on the desired state of perfect health and affirm this desired intention ""as if already happened"" rather than identifying the illness and then asking God for help to eliminate it.[citation needed]
",The examples and perspective in this article may not include all significant viewpoints. Please improve the article or discuss the issue. (April 2017) (Learn how and when to remove this template message),4,"Photo by <a href=""https://unsplash.com/@milada_vigerova?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Milada Vigerova</a> on <a href=""https://unsplash.com/s/photos/affirmative-prayer?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>
  ",,,,,,,,,,
Alexander Technique,"The Alexander Technique, named after its creator Frederick Matthias Alexander, is a popular type of alternative therapy based on the idea that poor posture gives rise to a range of health problems.
","This article may rely excessively on sources too closely associated with the subject, potentially preventing the article from being verifiable and neutral. Please help improve it by replacing them with more appropriate citations to reliable, independent, third-party sources. (January 2021) (Learn how and when to remove this template message)",5,"Florida Grand Opera, CC BY 2.0 <https://creativecommons.org/licenses/by/2.0>, via Wikimedia Commons",,,,,,,,,,
Alternative cancer treatments,"Alternative cancer treatment describes any cancer treatment or practice that is not part of the conventional standard of cancer care. These include special diets and exercises, chemicals, herbs, devices, and manual procedures. Most alternative cancer treatments do not have high-quality evidence supporting their use.  Concerns have been raised about the safety of some of them. Some have even been found to be unsafe in certain settings.  Despite this, many untested and disproven treatments are used around the world. Promoting or marketing such treatments is illegal in most of the developed world.
",https://en.wikipedia.org/wiki/Alternative_cancer_treatments,6,"Photo by <a href=""https://unsplash.com/@nci?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">National Cancer Institute</a> on <a href=""https://unsplash.com/s/photos/cancer-treatment?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>
  ",,,,,,,,,,
Animal-assisted therapy,"Animal-assisted therapy is an alternative or complementary type of therapy that includes the use of animals in a treatment. It falls under the realm of Animal Assisted Intervention, which encompasses any intervention that includes an animal in a therapeutic context such as emotional support animals, service animals trained to assist with daily activities, and animal assisted activity. Animal-assisted therapy can be classified by the type of animal, the targeted population, and how the animal is incorporated into the therapeutic plan. The most commonly used types of animal-assisted therapy are canine-assisted therapy and equine-assisted therapy. The goal of animal-assisted therapy is to improve a patient's social, emotional, or cognitive functioning and literature reviews state that animals can be useful for educational and motivational effectiveness for participants. Studies have documented the positive effects of the therapy as reported on subjective self-rating scales and on objective physiological measures such as blood pressure and hormone levels.
","
Animal husbandry
Draft animal
Fur farming
Hunting
Animals in sport
Laboratory animal
Livestock
Pack animal
Pet
Equestrianism
Service animal
Animal-assisted therapy
Working animal
",7,"Tomwsulcer, CC0, via Wikimedia Commons",,,,,,,,,,
Anthroposophic medicine,"Anthroposophic medicine (or anthroposophical medicine) is a form of alternative medicine. Devised in the 1920s by Rudolf Steiner (1861â€“1925) in conjunction with Ita Wegman (1876â€“1943), anthroposophical medicine is based on occult notions and draws on Steiner's spiritual philosophy, which he called anthroposophy. Practitioners employ a variety of treatment techniques based upon anthroposophic precepts, including massage, exercise, counselling, and substances.
",https://en.wikipedia.org/wiki/Anthroposophical_medicine,8,"Christoph Holtermann, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons",,,,,,,,,,
Apitherapy,"Apitherapy is a branch of alternative medicine that uses honey bee products, including honey, pollen, propolis, royal jelly and bee venom. Proponents of apitherapy make claims for its health benefits which are unsupported by evidence-based medicine.
",https://en.wikipedia.org/wiki/Apitherapy,9,"Laliv g, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons",,,,,,,,,,
Applied kinesiology,"Applied kinesiology (AK) is a pseudoscience-based technique in alternative medicine claimed to be able to diagnose illness or choose treatment by testing muscles for strength and weakness.
",https://en.wikipedia.org/wiki/Applied_kinesiology,10,"Wilbur Pardon Bowen, Public domain, via Wikimedia Commons",,,,,,,,,,
