Name,Info1,Info2,Link,Number,AT
Acai,"Common Names:Ã‚Â acai, acai berry, aÃƒÂ§aÃƒÂ­","
The acai palm tree, native to tropical Central and South America, produces a deep purple fruit. The acai fruit has long been an important food source for indigenous peoples of the Amazon region.
Acai products have become popular in the United States, where they have been promoted for weight-loss and anti-aging purposes.
The Federal Trade Commission has taken action against companies that marketed acai weight-loss products in allegedly deceptive ways.
Acai fruit pulp has been used experimentally as an oral contrast agent for magnetic resonance imaging (MRI) of the digestive tract.

",https://www.nccih.nih.gov/health/acai,1,"Melsj, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons"
Aloe Vera ,Common Names:Ã‚Â aloe,"
Aloe is a cactus-like plant that grows in hot, dry climates. It is cultivated in subtropical regions around the world, including the southern border areas of Texas, New Mexico, Arizona, and California.
Historically, aloe has been used for skin conditions and was thought to improve baldness and promote wound healing.
Aloe is used topically (applied to the skin) and orally. Topical use of aloe is promoted for acne, lichen planus (a very itchy rash on the skin or in the mouth), oral submucous fibrosis, burning mouth syndrome, burns, and radiation-induced skin toxicity. Oral use of aloe is promoted for weight loss, diabetes, hepatitis, and inflammatory bowel disease (a group of conditions caused by gut inflammation that includes CrohnÃ¢Â€Â™s disease and ulcerative colitis).
In 2002, the U.S. Food and Drug Administration issued a ruling that required manufacturers to remove aloe from over-the-counter laxative products because of a lack of safety data.

",https://www.nccih.nih.gov/health/aloe-vera,2,"Luis Miguel Bugallo Sánchez (Lmbuga), CC BY-SA 3.0 <https://creativecommons.org/licenses/by-sa/3.0>, via Wikimedia Commons"
Asian Ginseng,"Common Names:Ã‚Â Asian ginseng, Chinese ginseng, Korean ginseng, red ginseng, white ginseng","
Asian ginseng is native to the Far East, including China, Korea, and far-eastern Siberia. It has been used for health-related purposes in traditional Chinese medicine for thousands of years.
Asian ginseng is one of several types of ginseng. The terms red ginseng and white ginseng refer to Asian ginseng roots prepared in two different ways.
The part of the plant most frequently used for health purposes is the root.
Asian ginseng taken orally is promoted for increasing resistance to environmental stress and as a general tonic to improve well-being. Asian ginseng is also promoted as a dietary supplement for a variety of other reasonsÃ¢Â€Â”to improve physical stamina, concentration, and memory; stimulate immune function; slow the aging process; and relieve various other health problems, such as respiratory and cardiovascular disorders, depression, anxiety, and menopausal hotÃ‚Â flashes. Topical use (applied to the skin) of Asian ginseng as part of a multi-ingredient preparation is promoted for premature ejaculation.
Asian ginseng contains many substances; those thought to be most important are called ginsenosides (or panaxosides).

",https://www.nccih.nih.gov/health/asian-ginseng,3,"Pennsylvania. Dept. of Forestry, No restrictions, via Wikimedia Commons"
Astragalus,"Common Names:Ã‚Â astragale, astragale ÃƒÂ  feuilles de rÃƒÂ©glisse, beg kei, milk vetch","
Astragalus has been used for centuries in traditional Chinese medicine in combination with other herbs.
Its root is used for health care purposes.
Commonly combined with other herbs, astragalus has been promoted as a dietary supplement for many conditions, including upper respiratory infections, allergic rhinitis (hay fever), asthma, chronic fatigue syndrome, and chronic kidney disease, among others. ItÃ¢Â€Â™s also promoted to strengthen and regulate the immune system. Topical use (application to the skin) of astragalus is promoted for improving blood flow and speeding wound healing.

",https://www.nccih.nih.gov/health/astragalus,4,"Jörg Hempel, CC BY-SA 3.0 DE <https://creativecommons.org/licenses/by-sa/3.0/de/deed.en>, via Wikimedia Commons"
Bilberry,"Common Names:Ã‚Â bilberry, European blueberry, whortleberry, huckleberry","
The bilberry bush is native to northern areas of Europe and Asia, the northern United States, and Canada. Its dark berries resemble blueberries.
Its name is derived from the Danish word bollebar, which means Ã¢Â€Âœdark berry.Ã¢Â€Â
Bilberry has been used for medicinal purposes since the Middle Ages. The berries and leaves are the parts of the plant that are used. Historically, bilberry has been used for a variety of conditions, including diarrhea, inflammation of the mouth, urinary problems, and diabetes. ItÃ¢Â€Â™s also been used traditionally to prevent scurvy, due to its high vitamin C content. During World War II, British pilots ate bilberry jam, thinking it would improve their nightÃ‚Â vision.
Today, bilberry is promoted as a dietary supplement for night vision, cataracts, varicose veins, and other conditions such as atherosclerosis (in which plaque builds up in arteries).

",https://www.nccih.nih.gov/health/bilberry,5,"Photo by David J. Stang, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons"
Bitter Orange,"Common Names:Ã‚Â bitter orange, Seville orange, sour orange, zhi shi ","
Native to eastern Africa, the Arabian Peninsula, Syria, and Southeast Asia, bitter orange now is grown throughout the Mediterranean region and elsewhere, including California andÃ‚Â Florida.
Bitter orange has been used inÃ‚Â traditional Chinese medicineÃ‚Â for indigestion, nausea, andÃ‚Â constipation.
Today, various bitter orange products are promotedÃ‚Â for heartburn, nasal congestion, weight loss, appetite stimulation or suppression, and athletic performance. Bitter orange is also applied to the skin for pain, bruises, fungal infections, and bedsores. Bitter orange is used in cooking and for adding flavor to beer andÃ‚Â spirits.
The fruit of bitter orange contains p-synephrine and other naturally occurring chemicals.Ã‚Â p-Synephrine is structurally similar to ephedrine, the main component in the herb ephedra, butÃ‚Â p-synephrine has different pharmacologic properties (how the component acts). The U.S. Food and Drug Administration banned the use of ephedra in dietary supplements because it raises blood pressure and is linked to heart attack and stroke. Bitter orange is commonly used as a substitute for ephedra in dietaryÃ‚Â supplements.
The National Collegiate Athletic Association (NCAA) has placed Ã¢Â€Âœsynephrine (bitter orange)Ã¢Â€Â on its current list of banned drugs, listing it as aÃ‚Â stimulant.

",https://www.nccih.nih.gov/health/bitter-orange,6,"Zeynel Cebeci, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons"
Black Cohosh,"Common Names:Ã‚Â black cohosh, black snakeroot, macrotys, bugbane, bugwort, rattleroot, rattleweed ","
Black cohosh, a member of the buttercup family, grows in North America. Native Americans traditionally used black cohosh for a variety of ailments and introduced it to European colonists.
Currently, black cohosh is promoted as a dietary supplement for hot flashes and other menopausal symptoms. ItÃ¢Â€Â™s also been promoted for other conditions, including menstrual cramps and premenstrual syndrome, and to induceÃ‚Â labor.
The part of the black cohosh plant used in herbal preparations is the root or rhizome (underground stem).

",https://www.nccih.nih.gov/health/black-cohosh,7,"Schnobby, CC BY-SA 3.0 <https://creativecommons.org/licenses/by-sa/3.0>, via Wikimedia Commons"
Bromelain,"Common Names:Ã‚Â bromelain, pineapple enzyme, pineapple extract","
Bromelain is a group of enzymes found in the fruit and stem of the pineapple plant. Pineapple is native to the Americas but is now grown throughout the world in tropical and subtropical regions. Historically, natives of Central and South America used pineapple for a variety of ailments, such as digestiveÃ‚Â disorders.
Bromelain is promoted as aÃ‚Â dietary supplementÃ‚Â for reducing pain and swelling, especially of the nose and sinuses, gums, and other body parts after surgery or injury. It is also promoted for osteoarthritis, cancer, digestive problems, and muscle soreness. Topical bromelain is promoted forÃ‚Â burns.

",https://www.nccih.nih.gov/health/bromelain,8,"Shaftria, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons"
Butterbur ,"Common Names:Ã‚Â butterbur, petasites, purple butterbur","
Butterbur is a shrub that grows in Europe and parts of Asia and North America. The name, butterbur, is attributed to the traditional use of its large leaves to wrap butter in warm weather.
In the Middle Ages butterbur was used for plague and fever, and in the 17th century it was used to treat cough, asthma, and skin wounds. More recently, it has been promoted as a dietary supplement for urinary tract symptoms, stomach upset, headaches including migraines, allergic rhinitis (hay fever), and other conditions.

",https://www.nccih.nih.gov/health/butterbur,9,"Zeynel Cebeci, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons"
Cat's Claw ,"Common Names:Ã‚Â catÃ¢Â€Â™s claw, uÃƒÂ±a de gato ","
CatÃ¢Â€Â™s claw is a woody vine that grows wild in the Amazon rainforest and other tropical areas of Central and South America. Its thorns resemble a catÃ¢Â€Â™sÃ‚Â claws.
The two most common species areÃ‚Â U. tomentosaÃ‚Â andÃ‚Â U. guianensis.Ã‚Â Most commercial preparations of catÃ¢Â€Â™s claw containÃ‚Â U. tomentosa.
Use of catÃ¢Â€Â™s claw dates back 2,000 years. Indigenous people of South and Central America used it to ward off disease.
Today, catÃ¢Â€Â™s claw is promoted as a dietary supplement for a variety of health conditions, including viral infections (such as herpes, human papilloma virus, and HIV), AlzheimerÃ¢Â€Â™s disease, cancer, arthritis, diverticulitis, peptic ulcers, colitis, gastritis, hemorrhoids, parasites, and leaky bowelÃ‚Â syndrome.

",https://www.nccih.nih.gov/health/cats-claw,10,"Yamuna01, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons"
